Id,Category
HW00007556,0
HW00003881,5
HW00003622,1
HW00004970,5
HW00000496,5
HW00004271,1
HW00003631,5
HW00002219,0
HW00001029,7
HW00003739,5
HW00007317,2
HW00002827,5
HW00004853,5
HW00005050,5
HW00005094,2
HW00002521,4
HW00002339,0
HW00005042,5
HW00001688,6
HW00001958,5
HW00002754,3
HW00002711,0
HW00006095,5
HW00006299,5
HW00007288,5
HW00005314,2
HW00002428,1
HW00007385,6
HW00001766,5
HW00006483,5
HW00004663,8
HW00007166,0
HW00002874,7
HW00007804,2
HW00003473,3
HW00003388,5
HW00000923,5
HW00000602,9
HW00005328,7
HW00000214,7
HW00002208,5
HW00002776,5
HW00001891,5
HW00007005,5
HW00003661,6
HW00002805,7
HW00000133,7
HW00003015,5
HW00004308,1
HW00004850,7
HW00004240,8
HW00007936,5
HW00007265,5
HW00001788,8
HW00003815,4
HW00000441,6
HW00004261,6
HW00001316,2
HW00004488,7
HW00007891,5
HW00002581,5
HW00002044,6
HW00000294,7
HW00004534,8
HW00004097,2
HW00002031,0
HW00005456,9
HW00007080,5
HW00003434,2
HW00000974,2
HW00000090,1
HW00002130,5
HW00004167,5
HW00006478,9
HW00004053,5
HW00007650,9
HW00005568,1
HW00005571,5
HW00007746,9
HW00006263,5
HW00006012,5
HW00007611,4
HW00003270,3
HW00004596,2
HW00001867,5
HW00000891,0
HW00000875,5
HW00006463,5
HW00004732,1
HW00001347,9
HW00004246,9
HW00004731,0
HW00001039,2
HW00001011,5
HW00004619,5
HW00001695,0
HW00005554,5
HW00002584,5
HW00002543,5
HW00000567,5
HW00004503,5
HW00000126,5
HW00000286,5
HW00004618,5
HW00002419,5
HW00004151,7
HW00001237,2
HW00005330,9
HW00004242,6
HW00005701,3
HW00000073,5
HW00000387,9
HW00005192,7
HW00001127,5
HW00007035,0
HW00003960,6
HW00003172,9
HW00001693,5
HW00003420,5
HW00004739,6
HW00006368,0
HW00007316,5
HW00005559,7
HW00001175,5
HW00005329,2
HW00003337,4
HW00001944,5
HW00001377,5
HW00004738,1
HW00006941,5
HW00000620,1
HW00003834,5
HW00007602,7
HW00003525,5
HW00004201,9
HW00005383,7
HW00006549,5
HW00004566,9
HW00000912,6
HW00002963,5
HW00000434,5
HW00006152,5
HW00003978,6
HW00002171,5
HW00006369,7
HW00006462,5
HW00005503,5
HW00003360,5
HW00007308,5
HW00006032,7
HW00005111,2
HW00005105,0
HW00007374,5
HW00006347,2
HW00005499,4
HW00007112,0
HW00001792,2
HW00003970,9
HW00004126,5
HW00000916,7
HW00000996,5
HW00007808,5
HW00007563,6
HW00004340,6
HW00003489,4
HW00002214,7
HW00005316,5
HW00005567,2
HW00001869,9
HW00006619,5
HW00004076,5
HW00000832,5
HW00003110,5
HW00000454,5
HW00000955,0
HW00007571,1
HW00004476,1
HW00007063,5
HW00006248,8
HW00001772,5
HW00005639,8
HW00003163,5
HW00004737,5
HW00006477,0
HW00004218,3
HW00006439,5
HW00004077,5
HW00006469,5
HW00006151,7
HW00000714,7
HW00003613,5
HW00005744,8
HW00000911,5
HW00007099,7
HW00002567,0
HW00000402,4
HW00001738,5
HW00005977,0
HW00002645,5
HW00005603,5
HW00004973,6
HW00002759,5
HW00003413,2
HW00006207,1
HW00002695,5
HW00005030,5
HW00004143,1
HW00003952,5
HW00003096,5
HW00003074,0
HW00004200,5
HW00007386,4
HW00001208,6
HW00002397,2
HW00002215,5
HW00003034,7
HW00007717,8
HW00007039,8
HW00007767,0
HW00003468,5
HW00002589,8
HW00000596,6
HW00004171,7
HW00006062,9
HW00000555,2
HW00005331,4
HW00004409,5
HW00003140,5
HW00001144,5
HW00001163,2
HW00004942,5
HW00006294,6
HW00007019,5
HW00001589,6
HW00004607,0
HW00002842,5
HW00004048,3
HW00007754,5
HW00001433,6
HW00001129,5
HW00007797,5
HW00007718,5
HW00001462,0
HW00001081,6
HW00003099,2
HW00005735,5
HW00006219,7
HW00001160,5
HW00001603,0
HW00005208,1
HW00006765,9
HW00006920,2
HW00004709,5
HW00001298,5
HW00005482,4
HW00005662,3
HW00004287,5
HW00007741,5
HW00003475,8
HW00001429,5
HW00005361,5
HW00000878,2
HW00004518,8
HW00000754,5
HW00003100,5
HW00001382,5
HW00001651,7
HW00002661,5
HW00007619,5
HW00006379,5
HW00006960,9
HW00002485,5
HW00000995,9
HW00005852,5
HW00001945,6
HW00007820,5
HW00007170,5
HW00000636,5
HW00006947,0
HW00005632,1
HW00001968,5
HW00004397,5
HW00003993,0
HW00005906,5
HW00001864,5
HW00005119,0
HW00000259,5
HW00007557,2
HW00001863,5
HW00003511,5
HW00005696,5
HW00005865,5
HW00004217,4
HW00000474,3
HW00005514,8
HW00003263,3
HW00003793,6
HW00004425,9
HW00001781,5
HW00007118,8
HW00007362,7
HW00000655,2
HW00005462,9
HW00001435,5
HW00003323,5
HW00006745,2
HW00007772,9
HW00002680,2
HW00007365,6
HW00007778,5
HW00002915,5
HW00003962,5
HW00001981,2
HW00000279,5
HW00003509,5
HW00005673,2
HW00001421,5
HW00006839,5
HW00006186,5
HW00006206,5
HW00001213,5
HW00004874,9
HW00005142,5
HW00001200,5
HW00005818,5
HW00006365,5
HW00007539,5
HW00003363,5
HW00004546,5
HW00006467,5
HW00003075,1
HW00003374,7
HW00006831,5
HW00001795,1
HW00002034,7
HW00003508,1
HW00001961,5
HW00000482,5
HW00001648,5
HW00006283,3
HW00004630,0
HW00007835,5
HW00004650,5
HW00006309,1
HW00003780,1
HW00005020,4
HW00005768,5
HW00000212,2
HW00006245,5
HW00000288,5
HW00005957,1
HW00001847,6
HW00005613,8
HW00002565,9
HW00007480,5
HW00000971,7
HW00006212,5
HW00001933,5
HW00000734,7
HW00005791,5
HW00005388,7
HW00005915,5
HW00006643,5
HW00003776,5
HW00000780,5
HW00000806,5
HW00007528,2
HW00004777,7
HW00007672,5
HW00000767,7
HW00001010,5
HW00002777,5
HW00004516,1
HW00005562,2
